"","p1","p2","alpha","xi","n","rd","seed","logbf","pm_alpha","pm_xi","chisq_stat","chisq_pvalue"
"149",1,2,0.0833333333333333,0.333333333333333,10,10,50,2.84512532646939,0.0782299395730906,0.374173055184846,1.04,0.791574393075928
"150",1,1,0,0.333333333333333,1000,100,35,13.338154845439,0.00876533007523979,0.329844470444458,Inf,0
"151",2,2,0.166666666666667,0,10,100,27,2.39161855284809,0.0817738265057301,0.36933234522357,4.85,0.303037557719149
"152",0,1,0,0,100,10,19,10.9493126023766,0.0561338136043238,0.327569887848127,Inf,0
"153",2,2,0.0833333333333333,0.333333333333333,10,100,11,0.665324890598292,0.0913506007952521,0.178756661144062,13.3,0.00989926910681378
"154",1,1,0,0.333333333333333,100,100,99,8.60649401307512,0.0323972377280554,0.328925337905997,0.539999999999998,0.763379494336854
"155",1,2,0,0.166666666666667,10,100,16,3.48750850647259,0.0821182557922036,0.324940842656454,0.0799999999999997,0.994124368210494
"156",1,1,0.166666666666667,0,100,100,13,7.26782922924548,0.127726369308755,0.334687982577619,Inf,0
"157",0,1,0.0833333333333333,0.333333333333333,10,100,23,3.43246311501475,0.109129679370997,0.341137437824493,Inf,0
"158",1,1,0.0833333333333333,0.333333333333333,10,10,77,3.39963592390918,0.0779342025658121,0.33141672475067,0.2,0.90483741803596
"159",2,2,0.166666666666667,0,100,10,88,2.20917215621418,0.113959245554256,0.0717696502173998,58.165,7.04603271704746e-12
"160",0,2,0,0.333333333333333,10,10,11,2.96257922976195,0.0800580363838577,0.365498514930914,Inf,0
"161",1,2,0.0833333333333333,0,1000,100,62,9.92523154987884,0.0988653552665872,0.0692434299264369,Inf,0
"162",0,2,0,0,1000,100,36,14.856642027155,0.0954567753399583,0.0868859088470563,Inf,0
"163",0,2,0.0833333333333333,0,10,10,33,3.43067046076426,0.0839642125546277,0.32526659633797,1.55,0.460703780998966
"164",2,2,0,0.166666666666667,10,100,16,2.8954434662533,0.0817022657122915,0.343799948911482,2.2,0.699029275765967
"165",1,2,0.166666666666667,0.166666666666667,1000,10,39,5.47408655955769,0.120808127103202,0.0580225674993016,Inf,0
"166",1,2,0.0833333333333333,0,1000,100,37,9.85875922517971,0.0394177662616359,0.0763712661582011,Inf,0
"167",1,2,0,0.333333333333333,10,100,32,3.43014457695695,0.0787927894873241,0.413638177728329,1.04,0.791574393075928
"168",1,1,0.0833333333333333,0.333333333333333,1000,100,30,12.7847191680494,0.086910453917926,0.331084754714186,Inf,0
"169",0,1,0,0.166666666666667,1000,100,1,16.1170885063016,0.0123707483593334,0.333779155902233,Inf,0
"170",1,2,0,0.333333333333333,100,10,26,5.59869896437723,0.076269219674689,0.409518424328853,4.39999999999999,0.221385387189489
"171",1,1,0,0.166666666666667,1000,10,74,10.5898549516307,0.0210419248951481,0.331073113321429,Inf,0
"172",0,1,0,0.333333333333333,10,10,18,3.82242461372721,0.0826610380327527,0.338306610827103,Inf,0
"173",0,1,0.166666666666667,0,1000,100,15,16.2245725788157,0.136643738818138,0.333348400111509,Inf,0
"174",0,2,0.0833333333333333,0.333333333333333,10,10,65,1.48639909660271,0.0887975549859573,0.238271563937411,Inf,0
"175",1,2,0,0.166666666666667,10,10,2,2.54713042864797,0.0729117564056378,0.498318348028843,2,0.57240670447088
